,sale_count
2015-01-04,0
2015-01-11,1
2015-01-18,0
2015-01-25,4
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,2
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,1
2015-04-19,0
2015-04-26,5
2015-05-03,1
2015-05-10,1
2015-05-17,2
2015-05-24,1
2015-05-31,6
2015-06-07,4
2015-06-14,5
2015-06-21,4
2015-06-28,9
2015-07-05,1
2015-07-12,2
2015-07-19,2
2015-07-26,5
2015-08-02,3
2015-08-09,1
2015-08-16,1
2015-08-23,1
2015-08-30,13
2015-09-06,3
2015-09-13,5
2015-09-20,2
2015-09-27,10
2015-10-04,2
2015-10-11,1
2015-10-18,1
2015-10-25,7
2015-11-01,5
2015-11-08,4
2015-11-15,4
2015-11-22,4
2015-11-29,16
2015-12-06,8
2015-12-13,5
2015-12-20,6
2015-12-27,17
2016-01-03,1
2016-01-10,1
2016-01-17,0
2016-01-24,1
2016-01-31,3
2016-02-07,0
2016-02-14,1
2016-02-21,0
2016-02-28,4
2016-03-06,3
2016-03-13,4
2016-03-20,5
2016-03-27,11
2016-04-03,4
2016-04-10,5
2016-04-17,4
2016-04-24,11
2016-05-01,1
2016-05-08,1
2016-05-15,1
2016-05-22,1
2016-05-29,6
2016-06-05,3
2016-06-12,3
2016-06-19,3
2016-06-26,3
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,3
2016-08-14,3
2016-08-21,3
2016-08-28,4
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,2
2016-10-09,2
2016-10-16,1
2016-10-23,1
2016-10-30,5
2016-11-06,4
2016-11-13,8
2016-11-20,4
2016-11-27,19
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,1
2017-01-01,2
2017-01-08,2
2017-01-15,4
2017-01-22,4
2017-01-29,8
2017-02-05,1
2017-02-12,0
2017-02-19,1
2017-02-26,3
2017-03-05,4
2017-03-12,3
2017-03-19,4
2017-03-26,9
2017-04-02,2
2017-04-09,2
2017-04-16,1
2017-04-23,1
2017-04-30,6
2017-05-07,1
2017-05-14,3
2017-05-21,3
2017-05-28,7
2017-06-04,7
2017-06-11,4
2017-06-18,6
2017-06-25,17
2017-07-02,2
2017-07-09,2
2017-07-16,2
2017-07-23,3
2017-07-30,12
2017-08-06,3
2017-08-13,3
2017-08-20,3
2017-08-27,13
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,3
2017-10-01,2
2017-10-08,1
2017-10-15,1
2017-10-22,1
2017-10-29,9
2017-11-05,10
2017-11-12,7
2017-11-19,13
2017-11-26,30
2017-12-03,5
2017-12-10,2
2017-12-17,4
2017-12-24,2
2017-12-31,13
2018-01-07,1
2018-01-14,0
2018-01-21,1
2018-01-28,2
2018-02-04,4
2018-02-11,2
2018-02-18,2
2018-02-25,11
